condition,n,mean_attitude_T2,sd_attitude_T2,se_attitude_T2,mean_interest_T2,sd_interest_T2,se_interest_T2,mean_intentionuni_T2,sd_intentionuni_T2,se_intentionuni_T2
dy_graph,262,56.04961832061068,28.1713663332082,1.7404328244247684,49.545801526717554,30.14377745854086,1.8622887906986847,52.53816793893131,30.767893795070137,1.9008468267380956
dy_text,260,54.27307692307692,26.55013553750143,1.6465695073507507,45.25769230769231,28.500744054189383,1.7675411121781706,47.94230769230769,29.270284496389078,1.8152659844301213
st_graph,261,57.60536398467433,28.16437687865932,1.7433311630095276,47.37931034482759,28.82596641090366,1.7842825269843645,50.52873563218391,30.076635097361564,1.861696975210781
st_text,259,59.62934362934363,24.794224210865522,1.5406381296086797,51.027027027027025,26.79442343424627,1.6649244619474675,52.41698841698842,28.346483399670092,1.7613647757009907
none,252,57.44047619047619,26.570068768334284,1.673757006640399,48.3531746031746,29.33306249982764,1.8478092515823465,50.09126984126984,29.674119862535743,1.869293845975994
