condition,n,mean_FFQ_T2_meat,sd_FFQ_T2_meat,se_FFQ_T2_meat
dy_graph,245,7.020408163265306,3.3356605013491665,0.21310753231079327
dy_text,243,6.864197530864198,3.635521788074464,0.23321883144328237
st_graph,251,6.796812749003984,3.2376766053447676,0.20436033523343122
st_text,248,6.677419354838709,3.6784708737705842,0.23358313406768297
none,238,7,3.8669867465366745,0.2506595208031942
