condition,n,mean_attitude_T1,sd_attitude_T1,se_attitude_T1,mean_interest_T1,sd_interest_T1,se_interest_T1,mean_intentionuni_T1,sd_intentionuni_T1,se_intentionuni_T1
dy_graph,262,58.82442748091603,28.413606614766554,1.755398478998827,49.43129770992366,29.963340523396095,1.851141359617418,51.35114503816794,30.9472233143423,1.911925841438269
dy_text,260,52.12692307692308,26.103655237357408,1.6188799745869138,42.51923076923077,27.60469043059412,1.711970225488002,43.55769230769231,28.878666065581253,1.7909788403673759
st_graph,261,57.279693486590034,27.22870250132547,1.6854143730353237,47.22222222222222,30.134385618114013,1.865271642704457,47.885057471264375,30.565601060174835,1.8919632084846738
st_text,259,56.818532818532816,26.154614148365628,1.6251686473221627,47.80694980694981,28.133840384291457,1.7481517816302294,51.440154440154444,29.889319239942864,1.8572319302058464
none,252,55.19047619047619,26.67398400839119,1.6803030514646884,46.757936507936506,29.688303337974467,1.8701873209459334,47.74603174603175,30.657063816997656,1.9312134949336277
